time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
11072,14.0383,0.381681,0.183652,16.8338,32.1428
11104,14.0786,0.338551,0.177159,16.8737,31.878
11136,14.074,0.324174,0.184116,16.9266,31.9244
11168,29.965,0.330203,0.179478,17.0166,31.974
11216,14.8902,0.332522,0.177159,17.1478,47.9619
11249,13.8017,0.448464,0.181333,17.0036,33.0402
11281,12.7963,0.406724,0.183188,17.1228,31.904
11312,14.7376,0.37658,0.174377,16.1632,30.9769
11344,14.6898,0.377043,0.185043,16.3993,31.9388
11376,14.5475,0.40858,0.193391,16.2982,32.1043
11408,14.5085,0.379826,0.182725,16.3228,31.9313
11440,14.5591,0.338551,0.254609,17.3236,31.8673
11473,13.4803,0.345971,0.179942,16.416,32.9581
11504,14.4714,0.335768,0.176696,16.5213,30.9342
11536,30.3717,0.349217,0.212406,16.5857,32.006
11584,14.2901,0.328348,0.179014,16.6497,47.9703
11616,14.2692,0.351536,0.177623,16.7161,31.9392
11648,14.2256,0.449855,0.180869,16.6386,31.9698
11680,15.1615,0.402551,0.192927,16.7494,31.9708
11713,14.0698,0.381217,0.178551,16.8209,32.9878
11744,14.0271,0.358029,0.187826,16.9081,31.948
11776,14.003,0.375652,0.230029,16.9452,31.9615
11808,13.9218,0.362666,0.185043,18.8795,32.0348
11842,11.9253,0.375188,0.197565,17.1399,33.8272
11872,13.7053,0.346898,0.176696,16.0997,30.1421
11903,30.7784,0.353855,0.18458,16.2166,30.8188
11951,14.6555,0.323246,0.178551,16.2708,48.0046
11983,14.6885,0.351072,0.17484,16.3093,31.9179
12015,15.5831,0.338087,0.178551,17.4131,32.0023
12049,13.497,0.450319,0.179014,16.3594,33.9807
12080,14.4835,0.404406,0.209159,16.3334,30.9616
12112,16.4271,0.343188,0.177159,16.5477,31.9504
12146,12.3933,0.371014,0.185971,16.5876,33.9752
12176,16.2323,0.35571,0.179014,16.6609,30.0322
12210,12.2667,0.432232,0.193855,18.509,33.9371
12242,28.2142,0.344116,0.175768,16.749,31.8896
12288,14.1588,0.339014,0.178551,16.8649,45.9668
12320,14.0577,0.330667,0.182725,16.8598,31.9944
12352,14.0642,0.320927,0.173449,17.0866,31.9077
12384,13.882,0.34458,0.184116,16.9275,32.1322
12416,13.9956,0.331594,0.175304,16.9196,31.7955
12448,14.9969,0.450319,0.181333,16.9187,31.9044
12481,13.9084,0.413217,0.181333,16.902,33.0212
12513,13.9084,0.369623,0.182261,16.051,31.9133
12544,16.7606,0.354782,0.181333,16.1693,31.0098
12578,16.7258,0.336232,0.17484,16.2527,33.9557
12612,26.6268,0.412753,0.194319,16.2755,33.9724
12655,14.5614,0.35942,0.178551,16.3195,43.9805
12687,15.5998,0.351536,0.178087,16.3687,31.8673
12720,13.5573,0.337159,0.181333,16.3701,32.9943
12751,15.5344,0.33484,0.177623,16.4165,30.9278
12784,13.4896,0.333913,0.182725,16.5663,32.9558
12815,15.3512,0.352927,0.185971,16.5834,31.0571
12848,14.3198,0.457275,0.179014,16.5528,32.9512
12880,14.1751,0.403478,0.174377,16.6307,32.0297
12912,14.2377,0.370087,0.183188,16.7272,31.8493
12944,16.1229,0.345971,0.180406,16.877,32.0171
12978,28.0529,0.396058,0.194319,17.7187,34.0127
13025,17.0245,0.337623,0.177159,17.0268,46.8767
13060,11.9077,0.540753,0.201739,16.7457,35.0738
13090,11.8367,0.354319,0.185971,16.9665,29.9835
13120,14.8902,0.336232,0.18829,16.9901,29.8537
13153,13.8597,0.349681,0.178551,17.0973,32.9104
13185,13.7966,0.324174,0.182261,16.2439,31.9953
13216,14.6597,0.329275,0.177159,16.2834,31.0358
13248,14.6249,0.450782,0.177159,17.2415,31.9476
13281,13.5745,0.401623,0.186435,16.2453,32.9962
13312,14.5651,0.367768,0.178551,16.3358,30.9073
13344,34.4728,0.365449,0.177159,16.4605,31.9629
13396,10.4566,0.433623,0.192464,16.429,51.9647
13424,14.3471,0.401623,0.201739,16.467,28.0014
13456,14.3675,0.353391,0.179014,16.5839,31.904
13488,16.2778,0.345507,0.177623,16.6725,31.9601
13521,12.3158,0.344116,0.180406,16.7314,33.958
13552,15.0929,0.351072,0.175304,16.742,30.0596
13584,14.1727,0.339478,0.183652,16.7949,32.8454
13616,14.0939,0.32742,0.186435,16.7879,31.9889
13648,14.1463,0.465159,0.174377,16.7453,31.8933
13680,13.991,0.398377,0.183652,16.8566,32.0515
13712,30.9658,0.378435,0.186898,17.018,31.9156
13761,13.7683,0.354782,0.185971,17.0555,49.0782
13793,12.8366,0.433623,0.174377,16.9549,31.885
13824,13.7864,0.390956,0.182725,17.0249,30.9741
13856,15.782,0.416464,0.194783,17.0263,31.8947
13890,11.75,0.352464,0.181333,17.1905,33.9478
13920,14.7325,0.341333,0.178551,16.2875,29.9627
13952,14.5683,0.336232,0.177159,17.4864,32.0315
13985,13.4966,0.328811,0.183652,16.3817,33.0416
14016,14.4515,0.340869,0.188754,16.4596,30.912
14048,14.4042,0.452637,0.183652,16.4262,31.9383
14080,31.3349,0.388638,0.176696,16.7184,31.9281
14129,14.1625,0.381681,0.179014,16.7383,49.0884
14161,15.1365,0.348753,0.17484,16.7634,31.9453
14194,17.1576,0.348753,0.190145,16.7332,32.909
14229,9.13716,0.400232,0.201275,16.6933,34.9463
