time[ms],x,y,arc,pos
6411,-18798,19619,0,0
6420,-18825,19646,0,0
6427,-18852,19671,0,0
6435,-18878,19698,0,0
6444,-18900,19725,0,0
6451,-18919,19749,0,0
6458,-18938,19773,0,0
6467,-18957,19799,0,0
6474,-18973,19824,0,0
6483,-18985,19848,0,0
6490,-19002,19871,0,0
6498,-19023,19894,0,0
6507,-19045,19916,0,0
6514,-19070,19943,0,0
6523,-19092,19968,0,0
6530,-19112,19985,0,0
6539,-19132,20010,0,0
6546,-19157,20040,0,0
6555,-19183,20068,0,0
6562,-19204,20091,0,0
6571,-19225,20116,0,0
6578,-19249,20141,0,0
6586,-19274,20166,0,0
6595,-19302,20191,0,0
6602,-19328,20218,0,0
6611,-19352,20243,0,0
6618,-19379,20271,0,0
6627,-19405,20298,0,0
6635,-19430,20325,0,0
6642,-19457,20354,0,0
6650,-19482,20379,0,0
6658,-19509,20405,0,0
6667,-19535,20433,0,0
6674,-19564,20459,0,0
6683,-19594,20483,0,0
6690,-19623,20514,0,0
6698,-19623,20514,0,0
6699,-19649,20540,0,0
6706,-19675,20566,0,0
6715,-19702,20590,0,0
6723,-19728,20616,0,0
6732,-19757,20645,0,0
6739,-19784,20680,0,0
6748,-19809,20716,0,0
6755,-19838,20759,0,0
6764,-19865,20799,0,0
6771,-19893,20830,0,0
6780,-19923,20858,0,0
6787,-19952,20879,0,0
6796,-19980,20896,0,0
6803,-20005,20918,0,0
6812,-20025,20936,0,0
6819,-20044,20956,0,0
6827,-20058,20974,0,0
6835,-20074,20993,0,0
6842,-20099,21011,0,0
6850,-20124,21030,0,0
6858,-20152,21051,0,0
6867,-20182,21080,0,0
6874,-20205,21104,0,0
6883,-20230,21126,0,0
6891,-20258,21149,0,0
6898,-20282,21174,0,0
6907,-20303,21196,0,0
6914,-20325,21223,0,0
6923,-20344,21248,0,0
6930,-20362,21275,0,0
6939,-20380,21299,0,0
6946,-20397,21323,0,0
6955,-20417,21349,0,0
6962,-20435,21375,0,0
6970,-20457,21400,0,0
6979,-20483,21424,0,0
6986,-20507,21450,0,0
6995,-20532,21479,0,0
7002,-20558,21505,0,0
7011,-20583,21531,0,0
7018,-20605,21556,0,0
7026,-20630,21581,0,0
7035,-20657,21605,0,0
7042,-20683,21630,0,0
7051,-20710,21653,0,0
7058,-20735,21678,0,0
7067,-20763,21704,0,0
7076,-20790,21729,0,0
7083,-20818,21751,0,0
7092,-20848,21776,0,0
7099,-20870,21803,0,0
7108,-20899,21833,0,0
7115,-20929,21856,0,0
7124,-20959,21876,0,0
7131,-20985,21894,0,0
7140,-21012,21909,0,0
7147,-21037,21921,0,0
7156,-21063,21934,0,0
7163,-21085,21949,0,0
7172,-21109,21961,0,0
7179,-21130,21974,0,0
7188,-21150,21981,0,0
7195,-21168,21988,0,0
7204,-21193,21995,0,0
7210,-21213,22006,0,0
7219,-21227,22011,0,0
7226,-21242,22015,0,0
7235,-21259,22019,0,0
7242,-21279,22023,0,0
7251,-21296,22025,0,0
7259,-21312,22030,0,0
7266,-21328,22040,0,0
7275,-21346,22050,0,0
7282,-21363,22056,0,0
7290,-21385,22064,0,0
7299,-21403,22071,0,0
7306,-21422,22081,0,0
7315,-21442,22094,0,0
7322,-21460,22109,0,0
7331,-21479,22125,0,0
7338,-21502,22143,0,0
7347,-21525,22156,0,0
7354,-21548,22174,0,0
7363,-21570,22196,0,0
7370,-21594,22219,0,0
7379,-21620,22243,0,0
7386,-21648,22268,0,0
7395,-21674,22290,0,0
7402,-21704,22315,0,0
7411,-21730,22341,0,0
7418,-21758,22370,0,0
7427,-21788,22400,0,0
7435,-21818,22425,0,0
7443,-21843,22451,0,0
7450,-21870,22481,0,0
7459,-21898,22510,0,0
7466,-21923,22534,0,0
7475,-21947,22560,0,0
7484,-21969,22584,0,0
7491,-21994,22610,0,0
7499,-22019,22631,0,0
7508,-22042,22653,0,0
7515,-22064,22674,0,0
7523,-22085,22696,0,0
7532,-22105,22716,0,0
7539,-22127,22735,0,0
7548,-22145,22750,0,0
7555,-22165,22766,0,0
7564,-22183,22783,0,0
7571,-22200,22799,0,0
7579,-22218,22818,0,0
7587,-22237,22835,0,0
7594,-22249,22854,0,0
7603,-22264,22870,0,0
7610,-22283,22890,0,0
7618,-22303,22911,0,0
7627,-22323,22935,0,0
7634,-22343,22959,0,0
7642,-22365,22984,0,0
7651,-22389,23014,0,0
7658,-22415,23040,0,0
7666,-22442,23069,0,0
7675,-22469,23098,0,0
7682,-22492,23126,0,0
7691,-22518,23156,0,0
7698,-22545,23185,0,0
7707,-22574,23210,0,0
7714,-22604,23238,0,0
7723,-22633,23266,0,0
7730,-22657,23295,0,0
7739,-22683,23325,0,0
7747,-22708,23354,0,0
7754,-22733,23380,0,0
7763,-22759,23406,0,0
7770,-22784,23430,0,0
7778,-22808,23454,0,0
7786,-22834,23476,0,0
7794,-22857,23501,0,0
7803,-22882,23528,0,0
7811,-22904,23551,0,0
7819,-22923,23571,0,0
7827,-22942,23590,0,0
7834,-22963,23606,0,0
7843,-22985,23623,0,0
7852,-23009,23639,0,0
7859,-23033,23654,0,0
7868,-23059,23669,0,0
7875,-23087,23684,0,0
7884,-23112,23698,0,0
7891,-23135,23713,0,0
7899,-23162,23731,0,0
7908,-23187,23746,0,0
7915,-23210,23766,0,0
7924,-23230,23784,0,0
7931,-23249,23801,0,0
7940,-23262,23823,0,0
7948,-23274,23850,0,0
7955,-23285,23873,0,0
7962,-23303,23906,0,0
7971,-23318,23949,0,0
7978,-23338,24001,0,0
7987,-23367,24061,0,0
7994,-23395,24123,0,0
8003,-23424,24184,0,0
8010,-23454,24248,0,0
8019,-23480,24304,0,0
8026,-23503,24359,0,0
