time_log,キャプチャ時間,書き出し処理時間,画像処理時間,モータ制御開始から終了,1ループ
9680,13.3483,0.871253,0.581347,16.6801,33.017
9712,13.4643,0.736475,0.585187,16.6901,31.9998
9744,13.3752,0.704605,0.575203,16.8629,31.9787
9776,13.2792,0.695005,0.571364,15.9828,32.0186
9807,14.2887,0.781401,0.579811,16.8237,31.0172
9840,13.2869,0.736859,0.622433,16.8449,32.9682
9872,29.2313,0.796376,0.573284,16.7251,32.0509
9919,13.4044,0.961488,0.610914,16.5231,47.8202
9951,13.4877,0.701149,0.571748,16.77,31.9933
9984,13.4804,0.716892,0.570596,16.7093,32.0409
10015,13.4113,0.850134,0.573668,16.6536,31.9664
10047,13.5649,0.910035,0.570596,16.4801,31.9914
10080,13.4363,0.873941,0.582499,16.5841,32.034
10111,13.4048,0.703069,0.569444,16.7489,31.9633
10143,13.591,0.754523,0.600162,16.4409,31.9322
10175,13.4877,0.686174,0.560612,16.7619,31.9541
10207,13.4992,0.634336,0.560612,16.8253,31.9871
10239,29.5109,0.706141,0.620513,16.6318,32.0075
10287,13.4585,0.652768,0.558692,16.8111,47.9953
10319,13.4624,0.80252,0.56138,16.7047,31.981
10351,13.5161,0.641632,0.559844,16.7965,31.9987
10383,13.581,0.757978,0.560996,16.6433,31.9987
10415,13.4893,0.785625,0.562916,16.6202,32.0613
10447,13.4896,0.827095,0.565988,16.664,31.9357
10479,13.4405,0.851286,0.559844,16.6678,32.0259
10511,13.4973,0.80828,0.562148,16.6133,31.9971
10543,14.3931,0.699613,0.562148,16.7416,31.9887
10576,13.4704,0.659679,0.56138,16.8307,32.8884
10608,28.9188,0.734939,0.562532,16.2704,32.0048
10655,13.8686,0.771802,0.56138,16.2735,46.9993
10687,13.7688,0.642784,0.559076,16.5849,31.9641
10719,14.4596,0.747611,0.562148,16.7247,32.0394
10752,12.6207,0.633185,0.557924,16.6575,32.989
10783,14.5049,0.667743,0.615905,16.6598,30.9876
10816,12.6184,0.741083,0.558308,16.5742,32.9813
10847,13.6137,0.939601,0.566756,16.376,31.0007
10879,14.4722,0.703453,0.558692,16.8103,31.9929
10912,12.5815,0.686942,0.557156,16.5338,33.035
10953,3.61172,0.750683,0.541413,16.3403,41.129
10975,29.6691,0.687326,0.5633,16.4847,21.7963
11023,13.7231,0.804824,0.565604,16.3983,47.9316
11055,13.8129,0.705373,0.557156,16.3764,31.9918
11087,13.7811,0.669279,0.55946,16.5338,31.9875
11119,13.7834,0.673887,0.560228,16.4609,32.0163
11151,13.7519,0.781785,0.56138,16.4616,31.9768
11183,13.707,0.676958,0.608994,16.5423,32.0133
11215,13.7484,0.623969,0.55754,16.6056,31.9879
11247,13.7273,0.820951,0.556388,16.4417,32.0006
11279,13.7212,0.724188,0.559844,16.5442,32.0194
11311,29.7075,0.840534,0.578275,16.2305,32.0248
11359,13.8521,0.691166,0.560612,16.3948,47.8367
11391,13.8256,0.690782,0.567524,16.4436,31.986
11423,13.8801,0.64816,0.568676,16.4497,31.9987
11455,13.9627,0.648928,0.567908,16.3695,32.0163
11487,13.8571,0.680798,0.558692,16.4179,32.0305
11519,13.8955,0.799064,0.558692,16.2297,31.9998
11551,13.9585,0.779097,0.570596,16.2155,31.9553
11583,13.8882,0.768346,0.560612,16.3441,31.9937
11615,14.0226,0.666975,0.559076,16.2558,32.0421
11647,13.9224,0.827479,0.559844,16.2293,31.9587
11679,29.8472,0.836694,0.564068,16.1307,32.0179
11727,13.9412,0.69155,0.559076,16.2985,47.8847
11759,13.9228,0.698845,0.55754,16.3054,31.9983
11791,13.9604,0.789081,0.5633,16.2036,31.9672
11823,14.0165,0.820183,0.572516,16.1349,32.0044
11855,14.0299,0.744539,0.569828,16.1199,32.0221
11887,14.0015,0.711901,0.566372,16.2954,31.9756
11919,14.0675,0.948817,0.581347,15.9202,32.0309
11951,14.0833,0.814424,0.570596,16.0262,31.9856
11983,14.2522,0.741851,0.590563,15.9686,31.9841
12015,14.0053,0.724188,0.56714,16.194,32.0171
12047,30.0592,0.844758,0.57098,15.9229,31.9783
12095,14.1796,0.810968,0.624737,15.8469,47.8709
12127,14.1631,0.739547,0.579043,16.0562,32.0048
12159,14.1109,0.721884,0.565988,16.2485,32.0363
12191,14.1098,0.837078,0.575203,15.8811,32.1154
12223,14.1032,0.716508,0.56522,16.0873,31.8643
12255,14.167,0.691934,0.577123,16.1145,31.9772
12287,14.1528,0.814424,0.570596,15.9882,32.0163
12319,14.1274,0.832087,0.574051,15.969,32.0121
12351,14.3459,0.863189,0.577891,16.6494,31.9726
12384,13.1863,0.703837,0.622049,16.0147,32.9959
12415,30.1874,0.847062,0.5729,15.7302,31.0249
12463,14.3517,0.845526,0.566372,15.7832,47.844
12495,14.2614,0.769114,0.566756,15.8684,32.054
12527,14.3206,0.745307,0.627809,15.7874,31.9461
12559,14.3889,0.863189,0.581347,16.6867,32.0048
12592,13.2877,0.709597,0.569444,15.9126,33.0101
12623,14.3256,0.815192,0.575971,15.7593,31.0026
12655,14.2756,0.711901,0.563684,15.9341,32.0029
12687,14.3256,0.820183,0.567524,15.7808,31.9741
12719,14.319,0.722268,0.56714,15.9191,31.9929
12751,14.3252,0.744539,0.615137,15.7947,32.0282
12783,30.4508,0.71958,0.621281,16.7312,31.9814
12832,13.2842,0.721884,0.582499,15.8288,49.0662
12863,14.3359,0.872405,0.567908,16.7078,30.9335
12896,13.3145,0.903123,0.580195,16.7047,32.9939
12928,13.3694,0.748379,0.575971,15.7997,31.9979
12959,14.3033,0.699997,0.564836,16.7761,31.023
12991,13.4255,0.72726,0.576739,16.7658,32.8461
13023,13.3933,0.741467,0.568676,16.7988,31.9944
13055,13.3894,0.71958,0.575203,16.818,32.0017
13087,13.3825,0.692702,0.565988,15.8887,31.9987
13118,14.3974,0.710749,0.618593,16.6813,31.0283
13151,29.3653,0.752219,0.570596,16.783,33.0009
13199,13.3783,0.723036,0.567524,16.6352,48.0072
13231,13.6148,0.863573,0.565988,16.5112,31.8278
13263,13.5223,0.895828,0.56714,16.4751,32.0344
13295,13.5864,0.868949,0.567524,16.4628,31.966
13327,13.5138,0.830551,0.566756,16.616,32.0052
13359,13.5161,0.839382,0.567524,16.6049,32.0102
13391,13.5372,0.815575,0.574051,16.558,32.0248
13423,13.5937,0.712285,0.621281,16.5204,31.9841
13455,13.5814,0.68003,0.631649,16.5868,31.9756
13487,13.6559,0.696925,0.566372,16.5642,32.0067
13519,29.555,0.845142,0.572132,16.4897,32.0209
13567,13.601,0.84783,0.570596,16.4459,47.9861
13599,13.6236,0.840534,0.569444,16.3269,31.9848
13631,13.6816,0.814424,0.577891,16.4271,31.8624
13663,14.5045,0.845526,0.568292,16.5526,32.0217
13696,12.7708,0.76681,0.578659,16.4048,32.9824
13727,14.541,0.72918,0.56714,16.6575,31.0418
13760,13.4862,0.820567,0.570596,16.5669,33.0012
13792,12.6687,0.698845,0.565988,16.5619,31.9699
13823,13.6555,0.734172,0.581731,16.5308,31.0053
13855,30.4885,0.709213,0.570212,16.7132,32.0125
13904,12.6284,0.669279,0.615521,16.5715,48.9672
13935,14.46,0.701533,0.576355,16.73,31.0506
13968,13.5173,0.723036,0.571364,16.6678,32.9613
14000,12.6464,0.828631,0.56714,16.3273,31.9948
14031,13.8007,0.803288,0.575971,16.3714,30.849
14063,13.7745,0.988367,0.565604,16.1787,32.0298
14095,13.8437,0.746459,0.576739,16.353,31.9883
14127,13.7734,0.747227,0.580579,16.3618,32.0144
14159,13.7692,0.819031,0.56522,16.3384,31.9929
14191,13.778,0.832471,0.577891,16.3407,31.9783
14223,29.8081,0.822871,0.575203,16.3107,32.0067
