time[ms],x,y,arc,pos
5106,-206,8277,94,11
5114,-208,8288,94,11
5122,-209,8302,94,11
5129,-210,8315,94,11
5137,-210,8315,93,11
5138,-213,8330,93,11
5146,-214,8342,93,11
5154,-215,8355,93,11
5162,-216,8368,93,11
5170,-219,8382,93,11
5178,-220,8395,93,11
5186,-223,8406,93,11
5193,-225,8419,93,11
5201,-225,8419,94,11
5202,-226,8433,94,11
5210,-229,8447,94,11
5218,-230,8461,94,11
5225,-233,8475,94,11
5233,-233,8475,94,11
5234,-234,8488,95,11
5242,-235,8502,94,11
5250,-238,8515,94,11
5258,-240,8526,94,11
5266,-241,8539,95,11
5274,-243,8553,94,11
5281,-245,8566,94,11
5289,-245,8566,95,11
5290,-248,8581,95,11
5298,-250,8596,95,11
5305,-251,8609,95,11
5313,-251,8609,95,11
5314,-253,8624,95,11
5322,-255,8638,96,11
5329,-258,8652,96,11
5337,-259,8667,96,11
5345,-259,8667,96,11
5346,-261,8681,96,11
5353,-263,8692,96,11
5361,-263,8692,96,11
5362,-264,8706,96,11
5370,-266,8718,96,11
5378,-268,8732,96,11
5385,-270,8743,96,11
5393,-270,8743,96,11
5394,-271,8756,96,11
5402,-273,8767,96,11
5410,-275,8780,97,12
5417,-276,8792,97,12
5425,-278,8806,96,11
5433,-279,8818,96,11
5441,-281,8829,96,11
5449,-283,8842,96,11
5457,-283,8842,96,11
5458,-284,8853,96,11
5466,-285,8866,96,11
5474,-288,8878,96,11
5481,-289,8892,96,11
5489,-289,8892,96,11
5490,-290,8906,95,11
5498,-291,8917,95,11
5506,-291,8929,95,11
5514,-294,8942,95,11
5521,-295,8953,95,11
5529,-295,8953,94,11
5530,-296,8966,94,11
5538,-298,8978,94,11
5546,-300,8992,94,11
5553,-303,9005,94,11
5561,-304,9017,94,11
5569,-304,9017,94,11
5570,-305,9030,94,11
5578,-308,9043,93,11
5585,-309,9055,93,11
5593,-309,9055,93,11
5594,-311,9067,93,11
5602,-313,9082,93,11
5609,-315,9096,93,11
5617,-316,9108,93,11
5625,-319,9117,93,11
5633,-321,9132,94,11
5641,-323,9146,94,11
5649,-324,9162,95,11
5657,-326,9176,95,11
5665,-328,9188,95,11
5673,-330,9202,96,11
5681,-333,9217,96,11
5689,-335,9232,96,11
5697,-337,9247,97,12
5705,-340,9260,97,12
5713,-341,9274,97,12
5721,-341,9288,97,12
5729,-344,9302,97,12
5737,-346,9318,97,12
5745,-349,9332,98,12
5753,-350,9354,98,12
5761,-350,9354,98,12
5762,-354,9372,98,12
5770,-356,9392,98,12
5778,-360,9416,98,12
5785,-363,9439,98,12
5793,-366,9463,98,12
5801,-370,9484,98,12
5809,-373,9501,98,12
5817,-374,9512,98,12
5825,-374,9522,98,12
5833,-375,9533,98,12
5841,-375,9533,97,12
5842,-378,9546,97,12
5849,-379,9558,97,12
5857,-380,9570,96,11
5865,-382,9582,96,11
5873,-384,9593,96,11
5881,-386,9605,96,11
5889,-386,9605,97,12
5890,-388,9618,97,12
5897,-388,9630,97,12
5905,-388,9630,97,12
5906,-389,9642,97,12
5914,-390,9654,96,11
5922,-393,9667,96,11
5929,-394,9681,96,11
5937,-396,9693,96,11
5945,-398,9703,96,11
5953,-398,9717,96,11
5961,-399,9730,96,11
5969,-400,9742,96,11
5977,-400,9756,95,11
5985,-403,9767,95,11
5993,-403,9776,95,11
6001,-403,9790,96,11
6009,-404,9804,96,11
6017,-404,9818,95,11
6025,-404,9818,95,11
6026,-406,9831,95,11
6033,-408,9842,96,11
6041,-409,9856,96,11
6049,-410,9870,95,11
6057,-411,9882,95,11
6065,-413,9895,94,11
6073,-415,9906,94,11
6081,-415,9923,94,11
6089,-415,9939,94,11
6097,-415,9939,94,11
6098,-418,9954,94,11
6105,-420,9972,94,11
6113,-423,9988,94,11
6121,-425,10007,94,11
6129,-428,10020,95,11
6137,-429,10037,95,11
6145,-429,10037,95,11
6146,-433,10056,95,11
6153,-434,10071,95,11
6161,-435,10088,95,11
6169,-438,10101,94,11
6177,-439,10113,95,11
6185,-441,10127,94,11
6193,-444,10143,95,11
6201,-445,10158,95,11
6209,-448,10173,95,11
6217,-451,10188,95,11
6225,-453,10202,96,11
6233,-455,10215,96,11
6241,-459,10226,96,11
6249,-459,10226,97,12
6250,-460,10237,97,12
6258,-463,10249,96,11
6265,-465,10262,96,11
6273,-468,10275,97,12
6281,-469,10288,97,12
6289,-470,10300,96,11
6297,-471,10311,96,11
6305,-473,10323,96,11
6313,-475,10335,96,11
6321,-476,10347,96,11
6329,-478,10360,96,11
6337,-479,10371,96,11
6345,-480,10382,96,11
6353,-481,10393,96,11
6361,-481,10406,96,11
6369,-484,10418,96,11
6377,-484,10418,96,11
6378,-485,10431,96,11
6385,-486,10443,96,11
6393,-488,10456,95,11
6401,-490,10468,95,11
6408,-490,10477,95,11
6416,-490,10477,95,11
6417,-491,10488,95,11
6425,-493,10500,95,11
6433,-494,10513,95,11
6441,-494,10513,95,11
6442,-494,10528,95,11
6449,-496,10541,95,11
6457,-499,10553,95,11
6465,-499,10563,95,11
6473,-499,10573,95,11
6481,-499,10587,95,11
6489,-500,10602,95,11
6497,-503,10613,95,11
6505,-504,10628,96,11
6513,-506,10640,96,11
6521,-508,10652,96,11
6529,-510,10663,96,11
6537,-513,10677,96,11
6545,-515,10692,96,11
6553,-516,10706,97,12
6561,-516,10706,96,11
6562,-519,10719,96,11
6569,-520,10733,96,11
6577,-521,10747,96,11
6585,-524,10761,95,11
6593,-525,10773,96,11
6601,-526,10786,95,11
6609,-528,10798,95,11
6617,-530,10812,96,11
6625,-531,10824,96,11
6633,-534,10838,95,11
6641,-536,10854,95,11
6649,-541,10872,95,11
6657,-544,10888,96,11
6665,-545,10904,96,11
6673,-549,10921,96,11
6681,-550,10931,96,11
6689,-551,10944,96,11
6697,-554,10956,96,11
6705,-555,10967,96,11
6713,-556,10980,95,11
6721,-558,10990,95,11
6729,-560,11003,95,11
6737,-561,11014,96,11
6745,-563,11025,95,11
6753,-565,11036,96,11
6761,-566,11047,96,11
6769,-566,11057,96,11
6777,-569,11068,96,11
6785,-570,11082,96,11
6793,-573,11096,96,11
6801,-574,11108,96,11
6809,-574,11121,95,11
6817,-575,11132,95,11
6825,-578,11144,95,11
6833,-578,11155,95,11
6841,-578,11167,95,11
6849,-579,11180,95,11
6857,-580,11191,95,11
6865,-580,11202,95,11
6873,-581,11212,95,11
6881,-582,11224,95,11
6889,-584,11237,95,11
